data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
11/9/21 0:00,14.8969,16.6,2.16016,16.2867,15.6753,8.87406
11/9/21 1:00,16.3229,19.8722,4.67784,21.667,13.8206,10.2039
11/9/21 2:00,7.45359,11.5974,16.43,31.4812,23.5587,8.53721
11/9/21 3:00,5.4064,8.16196,10.1806,19.0479,17.8475,10.0349
11/9/21 4:00,4.53893,5.0419,5.88764,14.1789,6.37858,5.77309
11/9/21 5:00,6.56002,5.99561,5.2947,8.3114,5.99754,4.94864
11/9/21 6:00,9.35508,9.47336,6.09282,19.0817,5.7766,5.19068
11/9/21 7:00,10.8047,17.1693,7.26575,25.4928,5.64256,5.86174
11/9/21 8:00,15.6049,11.5063,17.0718,24.0671,5.9978,7.79395
11/9/21 9:00,11.5043,15.0543,21.9036,30.352,8.49525,10.774
11/9/21 10:00,14.0703,20.8829,29.9464,11.3764,9.28367,11.0134
11/9/21 11:00,16.861,18.2397,35.1453,7.76586,8.11052,10.1734
11/9/21 12:00,10.0555,12.7336,24.2027,8.89622,9.28552,11.1861
11/9/21 13:00,11.3005,15.8693,32.1453,12.5048,9.20941,11.9816
11/9/21 14:00,13.7161,14.6266,15.8114,24.3368,9.39506,7.79549
11/9/21 15:00,10.7367,13.2327,10.2125,17.2803,10.0768,8.00221
11/9/21 16:00,11.6513,12.5502,9.45142,21.1191,10.6901,9.83523
11/9/21 17:00,15.5735,18.7234,12.9279,26.0026,13.6682,12.7143
11/9/21 18:00,20.1408,23.1344,15.7662,29.6504,17.2158,15.6389
11/9/21 19:00,22.1592,23.6907,19.7203,30.1586,21.4391,19.7475
11/9/21 20:00,21.7432,24.1391,34.0663,26.2819,22.5491,21.771
11/9/21 21:00,22.9229,26.0743,28.7292,28.2288,23.5503,20.5858
11/9/21 22:00,22.4289,24.845,28.2122,26.7568,22.7627,21.4656
11/9/21 23:00,22.7287,23.3289,23.116,27.6998,21.2459,21.719
11/10/21 0:00,20.5625,21.0638,19.1142,22.4794,20.5033,19.8592
11/10/21 1:00,19.4471,20.6889,20.6828,20.1208,18.9754,20.125
11/10/21 2:00,19.3027,21.195,19.9909,19.1647,18.4011,19.7758
11/10/21 3:00,20.2468,21.0416,18.8691,19.4252,17.3232,19.0139
11/10/21 4:00,20.6071,21.8764,18.209,18.3793,17.7546,19.5533
11/10/21 5:00,21.8823,23.4357,21.2643,18.3358,19.8923,20.148
